City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Bengaluru,2015-05-25,27.71,,4.01,18.69,10.4,3.25,4.19,4.81,21.85,4.57,1.28,,111.0,Moderate
Bengaluru,2015-05-26,28.01,,2.74,12.85,9.33,0.28,4.21,3.92,23.36,4.69,1.44,,158.0,Moderate
Bengaluru,2015-05-27,31.7,,2.97,11.83,9.27,2.77,4.79,4.02,27.83,3.77,1.05,,93.0,Satisfactory
Bengaluru,2015-05-28,48.08,,12.38,41.16,23.43,4.91,1.22,0.96,42.06,3.54,0.86,,97.0,Satisfactory
Bengaluru,2015-05-29,30.77,,6.31,22.5,13.99,4.88,1.4,0.92,31.65,5.05,1.34,,94.0,Satisfactory
Bengaluru,2015-05-30,26.15,,0.95,14.82,10.67,5.61,4.52,7.13,54.35,4.81,3.22,,147.0,Moderate
Bengaluru,2015-05-31,40.71,,0.75,6.62,5.01,2.89,2.84,4.24,22.32,5.42,3.15,,100.0,Satisfactory
Bengaluru,2015-06-01,23.69,,1.65,14.12,7.77,2.34,1.7,6.9,68.17,4.86,1.7,,101.0,Moderate
Bengaluru,2015-06-02,23.95,,0.46,9.28,3.25,2.31,1.77,7.93,54.65,4.08,1.68,,84.0,Satisfactory
Bengaluru,2015-06-03,21.51,,1.59,19.98,9.87,2.21,1.52,4.44,46.8,4.11,1.39,,84.0,Satisfactory
Bengaluru,2015-06-04,25.56,,1.14,6.39,7.52,1.93,1.4,4.47,29.64,3.16,1.3,,74.0,Satisfactory
Bengaluru,2015-06-05,22.41,,2.59,14.61,19.41,18.87,5.65,5.85,27.39,2.89,0.84,,130.0,Moderate
Bengaluru,2015-06-06,16.02,,4.7,30.73,36.51,30.36,1.78,11.64,20.75,,1.72,,74.0,Satisfactory
Bengaluru,2015-06-07,12.69,,4.38,25.18,27.39,28.0,4.45,4.22,19.63,2.71,1.93,,74.0,Satisfactory
Bengaluru,2015-06-08,13.29,,4.82,22.65,13.65,23.12,3.93,17.45,17.13,2.49,3.93,,162.0,Moderate
Bengaluru,2015-06-09,12.11,,6.72,20.8,13.22,25.86,1.4,15.06,20.96,3.13,1.2,,55.0,Satisfactory
Bengaluru,2015-06-10,13.66,,3.61,22.16,11.83,21.15,1.96,6.09,24.49,3.13,1.94,,72.0,Satisfactory
Bengaluru,2015-06-11,14.56,,3.34,17.32,8.95,20.88,1.54,11.59,15.75,4.79,1.46,,66.0,Satisfactory
Bengaluru,2015-06-12,14.76,,3.2,13.35,7.08,5.29,1.89,10.35,20.52,4.35,1.56,,81.0,Satisfactory
Bengaluru,2015-06-13,12.29,,2.53,10.75,4.86,7.02,3.21,15.0,19.08,5.46,1.76,,94.0,Satisfactory
Bengaluru,2015-06-14,11.72,,1.76,9.61,4.7,7.86,2.36,1.96,20.38,4.56,1.79,,128.0,Moderate
Bengaluru,2015-06-15,15.7,,6.3,13.12,10.43,8.92,1.56,5.04,34.42,2.43,1.53,,86.0,Satisfactory
Bengaluru,2015-06-16,22.94,,2.88,10.09,5.6,9.22,3.74,1.58,13.24,1.66,1.72,,136.0,Moderate
Bengaluru,2015-06-17,19.54,,2.19,11.09,5.01,7.0,2.0,4.12,13.5,2.96,2.08,,67.0,Satisfactory
Bengaluru,2015-06-18,22.68,,2.8,18.7,9.83,8.31,1.3,1.35,16.42,5.04,1.3,,45.0,Good
Bengaluru,2015-06-19,21.86,,3.91,19.0,11.85,8.08,1.54,4.34,11.12,5.67,1.52,,70.0,Satisfactory
Bengaluru,2015-06-20,18.74,,3.9,14.48,9.69,7.31,2.89,1.95,8.62,4.36,1.31,,93.0,Satisfactory
Bengaluru,2015-06-21,18.81,,3.01,15.95,8.19,6.89,3.84,2.02,10.31,0.15,3.28,,166.0,Moderate
Bengaluru,2015-06-22,15.11,,2.78,16.04,11.71,27.31,4.29,5.53,10.68,,5.56,,183.0,Moderate
Bengaluru,2015-06-23,17.47,,1.74,7.27,4.01,10.32,2.08,7.51,10.97,0.12,1.56,,107.0,Moderate
Bengaluru,2015-06-24,15.92,,0.89,5.61,1.82,8.75,5.48,5.41,21.62,,13.45,,140.0,Moderate
Bengaluru,2015-06-25,13.58,,2.0,5.38,3.37,7.95,2.83,5.49,11.83,0.13,1.74,,107.0,Moderate
Bengaluru,2015-06-26,14.52,,1.14,6.1,3.71,7.5,1.75,4.41,13.27,0.1,1.34,,70.0,Satisfactory
Bengaluru,2015-06-27,27.25,,0.86,5.23,2.93,6.4,15.98,10.62,15.2,0.18,14.54,,165.0,Moderate
Bengaluru,2015-06-28,20.99,,0.72,4.38,1.91,6.3,2.03,2.53,15.42,0.24,2.47,,160.0,Moderate
Bengaluru,2015-06-29,22.26,,1.23,7.02,3.74,7.68,5.28,7.62,10.29,0.13,2.23,,209.0,Poor
Bengaluru,2015-06-30,23.51,,2.75,8.39,5.43,8.47,5.01,5.94,6.61,0.16,4.4,,166.0,Moderate
Bengaluru,2015-07-01,19.76,,1.24,6.34,3.24,6.34,6.96,6.28,6.45,0.11,4.98,,187.0,Moderate
Bengaluru,2015-07-02,20.24,,2.26,11.59,6.83,6.42,2.58,5.12,11.01,0.12,1.38,,162.0,Moderate
Bengaluru,2015-07-03,17.28,,1.07,5.11,2.7,5.96,7.52,3.69,8.37,,1.35,,185.0,Moderate
Bengaluru,2015-07-04,21.52,,1.0,5.99,2.9,5.76,15.9,2.76,9.72,,16.86,,141.0,Moderate
Bengaluru,2015-07-05,19.43,,1.13,7.66,4.66,4.74,20.81,2.29,7.89,0.16,8.67,,225.0,Poor
Bengaluru,2015-07-06,19.27,,2.21,8.79,6.36,26.67,26.99,2.54,8.96,0.13,24.39,,309.0,Very Poor
Bengaluru,2015-07-07,23.27,,1.73,7.83,7.62,10.45,2.86,3.36,9.3,0.14,1.36,,136.0,Moderate
Bengaluru,2015-07-08,18.63,,2.96,8.71,6.88,34.37,7.24,6.25,7.27,1.09,6.16,,139.0,Moderate
Bengaluru,2015-07-09,14.52,,5.93,10.04,8.43,19.3,3.42,3.89,7.56,0.18,1.47,,161.0,Moderate
Bengaluru,2015-07-10,12.84,,7.5,10.1,9.4,21.54,15.1,3.25,5.4,16.71,3.02,,160.0,Moderate
Bengaluru,2015-07-11,19.08,,6.5,10.66,9.34,20.9,2.42,2.39,5.06,22.69,2.88,,127.0,Moderate
Bengaluru,2015-07-12,23.45,,5.88,9.83,8.64,10.15,2.11,1.86,9.66,20.87,2.47,,71.0,Satisfactory
