location_id,location_name,city,latitude,longitude,sensor_id,parameter,units,unit_priority
5627,"CRRI Mathura Road, New Delhi - IMD",Delhi,28.5512005,77.2735737,15082,no2,µg/m³,0
5627,"CRRI Mathura Road, New Delhi - IMD",Delhi,28.5512005,77.2735737,15063,o3,µg/m³,0
5627,"CRRI Mathura Road, New Delhi - IMD",Delhi,28.5512005,77.2735737,12234677,pm10,µg/m³,0
5627,"CRRI Mathura Road, New Delhi - IMD",Delhi,28.5512005,77.2735737,12234678,pm25,µg/m³,0
5628,"GVM Corporation, Visakhapatnam - APPCB",Patna,17.722682,83.308197,14969,co,µg/m³,0
5628,"GVM Corporation, Visakhapatnam - APPCB",Patna,17.722682,83.308197,14957,no2,µg/m³,0
60661,"Siddharth Nagar-Worli, Mumbai - IITM",Mumbai,19.000083,72.813993,389761,pm25,µg/m³,0
227386,"B R Ambedkar University, Lucknow - UPPCB",Lucknow,26.766433000000003,80.927299,1311821,co,µg/m³,0
227386,"B R Ambedkar University, Lucknow - UPPCB",Lucknow,26.766433000000003,80.927299,1311816,no2,µg/m³,0
12044,"Kandivali East, Mumbai - MPCB",Mumbai,19.2058,72.8682,12236472,pm25,µg/m³,0
12044,"Kandivali East, Mumbai - MPCB",Mumbai,19.2058,72.8682,40620,so2,µg/m³,0
5628,"GVM Corporation, Visakhapatnam - APPCB",Patna,17.722682,83.308197,14950,o3,µg/m³,0
5628,"GVM Corporation, Visakhapatnam - APPCB",Patna,17.722682,83.308197,12235459,pm10,µg/m³,0
5628,"GVM Corporation, Visakhapatnam - APPCB",Patna,17.722682,83.308197,12235460,pm25,µg/m³,0
5628,"GVM Corporation, Visakhapatnam - APPCB",Patna,17.722682,83.308197,14939,so2,µg/m³,0
5630,"Shadipur, Delhi - CPCB",Delhi,28.6514781,77.1473105,15119,co,µg/m³,0
12046,"Perungudi, Chennai - TNPCB",Chennai,12.9533,80.2357,12236288,o3,µg/m³,0
12046,"Perungudi, Chennai - TNPCB",Chennai,12.9533,80.2357,12236289,pm10,µg/m³,0
12046,"Perungudi, Chennai - TNPCB",Chennai,12.9533,80.2357,12236290,pm25,µg/m³,0
60661,"Siddharth Nagar-Worli, Mumbai - IITM",Mumbai,19.000083,72.813993,389760,co,µg/m³,0
60661,"Siddharth Nagar-Worli, Mumbai - IITM",Mumbai,19.000083,72.813993,389767,no2,µg/m³,0
12040,"Mulund West, Mumbai - MPCB",Mumbai,19.175,72.9419,40640,so2,µg/m³,0
12044,"Kandivali East, Mumbai - MPCB",Mumbai,19.2058,72.8682,40616,co,µg/m³,0
5630,"Shadipur, Delhi - CPCB",Delhi,28.6514781,77.1473105,15053,no2,µg/m³,0
5630,"Shadipur, Delhi - CPCB",Delhi,28.6514781,77.1473105,15011,o3,µg/m³,0
5630,"Shadipur, Delhi - CPCB",Delhi,28.6514781,77.1473105,12234725,pm10,µg/m³,0
5630,"Shadipur, Delhi - CPCB",Delhi,28.6514781,77.1473105,14959,pm25,µg/m³,0
5630,"Shadipur, Delhi - CPCB",Delhi,28.6514781,77.1473105,14952,so2,µg/m³,0
5634,"Lodhi Road, New Delhi - IMD",Delhi,28.5918245,77.2273074,14978,co,µg/m³,0
12044,"Kandivali East, Mumbai - MPCB",Mumbai,19.2058,72.8682,40624,no2,µg/m³,0
12044,"Kandivali East, Mumbai - MPCB",Mumbai,19.2058,72.8682,40627,o3,µg/m³,0
12044,"Kandivali East, Mumbai - MPCB",Mumbai,19.2058,72.8682,40652,pm10,µg/m³,0
5634,"Lodhi Road, New Delhi - IMD",Delhi,28.5918245,77.2273074,14981,o3,µg/m³,0
5634,"Lodhi Road, New Delhi - IMD",Delhi,28.5918245,77.2273074,12234713,pm10,µg/m³,0
5634,"Lodhi Road, New Delhi - IMD",Delhi,28.5918245,77.2273074,12234714,pm25,µg/m³,0
5639,"R K Puram, New Delhi - DPCC",Delhi,28.5646102,77.1670103,15008,co,µg/m³,0
5639,"R K Puram, New Delhi - DPCC",Delhi,28.5646102,77.1670103,15030,no2,µg/m³,0
5639,"R K Puram, New Delhi - DPCC",Delhi,28.5646102,77.1670103,15042,o3,µg/m³,0
5639,"R K Puram, New Delhi - DPCC",Delhi,28.5646102,77.1670103,15059,pm10,µg/m³,0
5639,"R K Puram, New Delhi - DPCC",Delhi,28.5646102,77.1670103,15071,pm25,µg/m³,0
12040,"Mulund West, Mumbai - MPCB",Mumbai,19.175,72.9419,40644,o3,µg/m³,0
12040,"Mulund West, Mumbai - MPCB",Mumbai,19.175,72.9419,40628,pm10,µg/m³,0
12040,"Mulund West, Mumbai - MPCB",Mumbai,19.175,72.9419,12236481,pm25,µg/m³,0
12039,"Khindipada-Bhandup West, Mumbai - IITM",Mumbai,19.164394,72.928297,40617,so2,µg/m³,0
12040,"Mulund West, Mumbai - MPCB",Mumbai,19.175,72.9419,40609,co,µg/m³,0
12040,"Mulund West, Mumbai - MPCB",Mumbai,19.175,72.9419,40612,no2,µg/m³,0
5639,"R K Puram, New Delhi - DPCC",Delhi,28.5646102,77.1670103,15092,so2,µg/m³,0
5641,"Mandir Marg, New Delhi - DPCC",Delhi,28.6372688,77.2005604,15028,co,µg/m³,0
5641,"Mandir Marg, New Delhi - DPCC",Delhi,28.6372688,77.2005604,15025,no2,µg/m³,0
5641,"Mandir Marg, New Delhi - DPCC",Delhi,28.6372688,77.2005604,15023,o3,µg/m³,0
5641,"Mandir Marg, New Delhi - DPCC",Delhi,28.6372688,77.2005604,15022,pm10,µg/m³,0
5641,"Mandir Marg, New Delhi - DPCC",Delhi,28.6372688,77.2005604,15014,pm25,µg/m³,0
5641,"Mandir Marg, New Delhi - DPCC",Delhi,28.6372688,77.2005604,15013,so2,µg/m³,0
5644,"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,12.990328,77.5431385,15039,co,µg/m³,0
5644,"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,12.990328,77.5431385,15035,no2,µg/m³,0
5644,"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,12.990328,77.5431385,15033,pm10,µg/m³,0
5634,"Lodhi Road, New Delhi - IMD",Delhi,28.5918245,77.2273074,14980,no2,µg/m³,0
12024,"Chakala-Andheri East, Mumbai - IITM",Mumbai,19.11074,72.86084,40571,pm25,µg/m³,0
12024,"Chakala-Andheri East, Mumbai - IITM",Mumbai,19.11074,72.86084,40573,so2,µg/m³,0
12039,"Khindipada-Bhandup West, Mumbai - IITM",Mumbai,19.164394,72.928297,40636,co,µg/m³,0
12039,"Khindipada-Bhandup West, Mumbai - IITM",Mumbai,19.164394,72.928297,40639,no2,µg/m³,0
5644,"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,12.990328,77.5431385,15032,so2,µg/m³,0
5650,"IGI Airport (T3), Delhi - IMD",Delhi,28.5627763,77.1180053,12234694,o3,µg/m³,0
5650,"IGI Airport (T3), Delhi - IMD",Delhi,28.5627763,77.1180053,12234695,pm10,µg/m³,0
5650,"IGI Airport (T3), Delhi - IMD",Delhi,28.5627763,77.1180053,12234696,pm25,µg/m³,0
5652,"IGSC Planetarium Complex, Patna - BSPCB",Patna,25.5941,85.1376,15084,co,µg/m³,0
5652,"IGSC Planetarium Complex, Patna - BSPCB",Patna,25.5941,85.1376,15085,no2,µg/m³,0
12039,"Khindipada-Bhandup West, Mumbai - IITM",Mumbai,19.164394,72.928297,12236392,o3,µg/m³,0
12039,"Khindipada-Bhandup West, Mumbai - IITM",Mumbai,19.164394,72.928297,12236393,pm10,µg/m³,0
12039,"Khindipada-Bhandup West, Mumbai - IITM",Mumbai,19.164394,72.928297,40608,pm25,µg/m³,0
11612,"Sector-19A Nerul, Navi Mumbai - IITM",Mumbai,19.044,73.03250000000001,39460,pm25,µg/m³,0
11612,"Sector-19A Nerul, Navi Mumbai - IITM",Mumbai,19.044,73.03250000000001,39463,so2,µg/m³,0
12024,"Chakala-Andheri East, Mumbai - IITM",Mumbai,19.11074,72.86084,40569,co,µg/m³,0
12024,"Chakala-Andheri East, Mumbai - IITM",Mumbai,19.11074,72.86084,40574,no2,µg/m³,0
12024,"Chakala-Andheri East, Mumbai - IITM",Mumbai,19.11074,72.86084,40570,o3,µg/m³,0
