location_id,name,locality,latitude,longitude,sensor_ids,parameters,is_mobile,is_monitor,provider
5592,"Gangapur Road, Nashik - MPCB",,20.0073285,73.7762427,"[12235630, 14868, 12235631, 14798, 12235632, 14340867, 15265, 12235633, 12235634, 14795, 12235635, 14794, 12235636, 14793, 12235637, 12235638, 14340868, 14340869]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5593,"Pimpleshwar Mandir, Thane - MPCB",,19.192056,72.9585188,"[14830, 14802, 15198, 14801, 14806, 14804]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm
5594,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",,26.1209,85.3647,"[12235341, 15176, 12235342, 12235343, 15175, 14340823, 15174, 12235344, 12235345, 14803, 12235346, 12235347, 15170, 12235348, 14340824, 14340825]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5596,"Secretariat, Amaravati - APPCB",,16.5150833,80.5181667,"[14814, 14810, 14834, 14821, 14825, 14829]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm
5598,"Sector - 125, Noida, UP - UPPCB",,28.5447608,77.3231257,"[12235182, 12235183, 12235184, 14340784, 12235185, 12235186, 12235187, 12235188, 12235189, 12235190, 14340785, 14340786]","['co', 'no', 'no2', 'nox', 'o3', 'pm10', 'pm25', 'relativehumidity', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5599,"Bollaram Industrial Area, Hyderabad - TSPCB",,17.540891,78.358528,"[12235395, 14820, 12235396, 14842, 12235397, 14340833, 12235398, 14843, 12235399, 14813, 12235400, 15217, 12235401, 12235402, 15221, 12235403, 14340834, 14340835]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5601,"Lajpat Nagar, Moradabad - UPPCB",,28.825341,78.7213009,"[15189, 15190, 15194, 15202, 15207, 14819]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm
5602,"Asansol Court Area, Asansol - WBPCB",,23.685297,86.945968,"[14822, 12234979, 12234980, 12234981, 14823, 14341769, 12234982, 14828, 12234983, 14833, 12234984, 14835, 12234985, 12234986, 14837, 12234987, 14341770, 14341771]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5603,"Sector-2 Industrial Area, Pithampur - MPPCB",,22.624758,75.675238,"[14839, 12234916, 12234917, 14836, 12234918, 14340722, 15268, 12234919, 12234920, 14856, 14891, 12234921, 12234922, 14903, 12234923, 12234924, 14340723, 14340724]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5604,"Nishant Ganj, Lucknow - UPPCB",,26.871428,80.957145,"[14896, 15139, 15078, 14845, 14880]","['co', 'no2', 'o3', 'pm25', 'so2']",False,True,caaqm
5607,"Peenya, Bengaluru - CPCB",,13.0270199,77.494094,"[12235365, 15270, 12235366, 14850, 12235367, 14340829, 40537, 12235368, 1303005, 12235369, 12235370, 14859, 12235371, 12235372, 14862, 12235373, 14340830, 14340831]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
